comments,year,month,day
"We’ve also got our test drive on Tuesday. Car has been on order now for over a year now and Mrs is very excited, especially after reading this review. As I said on another thread, I think Fiat have got this spot on.",2021,4,25
"Forgot to mention the excellent turning circle (not quite Honda-e or BMW i3 small but almost and still great so this city car is easily manoeuvrable.  
And surprised by the high quality of the rear view park camera. Pin sharp/high resolution/colourful. Compared to our newish e-208 which has a pretty low res rear view camera.I was just surprised by the all round quality of the Fiat.  
And it had a normal sized and useable glove box. Not massive but not full of a fuse box as far as I could tell! 
 
Have now read up on Fiat website and they do say you can do 1 pedal driving so please try this for me. I drove mostly in the default Normal Mode but there was definite re-gen in Range Mode, but did not try it around town in that mode. This should be a feature of all EVs -1 pedal driving as helps to charge battery and improves range. e-208 has minimal re-gen and ID3 also did not regen much in its equivalent ""B"" mode.",2021,4,25
You can definitely one pedal drive in range mode. I tried it on my test drive and it worked well. It’ll bring you down to a standstill and then engage the auto hold - just like a Tesla Model 3.,2021,4,25
Did you find the start up chimes/sound and low speed sounds to be irritating? Or aren’t they that noticeable?,2021,4,25
Not noticeable. We could just about hear the operatic type music/VESS but short lived. Would have to hear it from outside the car I think.,2021,4,25
"Just drove the Mini e on Saturday and was very impressed, but I think we really like the look of the 500. Have you driven the Mini e and could you compare ? Price wise they are pretty similar, but the extra range makes a big difference.",2021,4,26
Thanks for the review. I will be very interested in this in the future probably. Love a small car and lucky enough for it to work for me for now ,2021,4,26
"Very informative breakdown, thanks. My wife is looking for a small car, as we already have a ZOE, but she is starting to gravitate towards the ID3. We've got a few more test drive to do first. Mini e, ID3, Honda E (only cause I want to have a go in it) and the Fiat. Might look at the 208 too.",2021,4,27
"What's the delivery lead time on the 500e? What are the seats like in it? The ones in the Honda E were quite firm.  
 
Even though I know the Honda E will not fit into my life at all I'm still wanting to find ways I can have one. It's a beguiling git.",2021,4,27
"We've just had our test drive and I have to agree with everything  @MarkyM  said. The thing that stuck out the most for me was the infotainment system, very slick and crystal clear. I think I would choose the maps over the Apple ones on Car Play. The wind noise is apparent but then that's driving a convertible car. We even managed to activate the roof at 50mph!! The car drives beautifully and is very much like our current Fiat 500 (but without the 57k miles), firm and sure footed. The acceleration is nippy and the speed is more than acceptable for a quick dash down the M1. Couldn’t quite get the ACC and LKA to work properly but then we were both pressing and guessing. The seats are firm and much like the 500 that we have although I thought there was supposed to be more adjustment but couldn’t see it. Lead times……we’re told that our car isn’t made yet but then the salesman tried to explain how a vehicle production line works and that the car was probably in a layby bit waiting for the winter pack or something. His words not mine! I suspect we’ll get a call in the next couple of weeks… 
 
Like most we haven’t had much to smile about lately but Mrs M cracked a massive smile when the roof went back and she sped off. Really looking forward to owning this car.",2021,4,27
Looks like the 500e is doing the rounds of all the UK motoring press at the moment as all have reviews up online. Good reviews across the board including for the small battery version. It is a light and compact EV. And they seems to agree that it seems quite efficient. Will have to see if Bjorn Nyland gets one on test to see what the real world range is like.,2021,5,21
"i have a problem. The problem is I love cheap sports cars, having owned Nissan 350z's and Toyota Celicas in the past, but after following climate change science I've decided to reduce my carbon emissions as much as possible and there doesn't seem to be very much on the market to fill the gap. I have my zero emission Leaf which is brilliant, but it's obviously not sporty. And if you do drive it briskly you end up at a charge point sooner than expected  . I'd love to buy a Tesla (roadster or model S), but they are outside of my price range especially as a second car. i3 Rex is a possibility, but it's not really designed as a sports car and a bit on the expensive side for what I'm thinking of.  
 
It's a shame toyota didn't put a tuned Prius 1.8L hybrid system in a new Celica or Mazda/Honda couldn't do something with a range extender In their small sports cars. I've always fancied an American muscle car such as the Mustang they are bringing over here this year, but I'm guessing it's not going to be less than 50g/km!  
 
I'm looking forward to when zero and low emission vehicles are available across all the different vehicle types, but the car industry seems to be a little on the conservative side in this arena at the moment. Maybe I just want my cake and eat it ",2015,6,8
"Honda Insight? 
 
Tesla Roadster?",2015,6,8
Use the Leaf in the week and then buy a cheap lotus Elise or similar for your weekend fun and don't worry about the emissions.,2015,6,8
"Honda CR Z Hybrid? 
 
 Honda CR-Z Review | Auto Express",2015,6,8
"How about a Smart Roadster, or a Mazda MX5 or Even a MGB conversion. Happy to oblige if anyone is intersted.",2015,6,8
"I'd have suggested Smart Roadster and CRZ too. The former may have reliability issues (electrics can give problems), the latter as you say is not the fastest. 
 
The last model MR2 was pretty economical and has all the best sports car traits - two seats and no luggage space to speak of at all!",2015,6,8
Op I know exactly how you feel! I love my Zoe but I am soooo tempted to buy a cheap roadster. I have had 2 xmk3 MR2 and they are the most fun you can have with your clothes on.,2015,6,8
"Oops, when I said Honda Insight I was picturing the CRZ ",2015,6,8
"I had the same problem but solved it by getting a Fiat 500T, but you could go up to the 500 Abarth if you want a bit more.",2015,6,8
"There are several MX5, S2000 and Elise conversions out there...",2015,6,8
I was but dang that Mustang does look nice   if they did a BEV or PHEV version id be all over it,2015,6,9
"Had a great day at FC live in Harrogate on Friday. Lots to see and chat to people about, both cars, connectivity and general EV stuff. Great showing from .Hyundai, Kia, Genesis, BYD, Polestar, Tesla and Ora where you could test drive and / or pick up information. But where were the European offerings? There was a token static Fiat 500, an Astra, an MG4 but with no POS or datacapture.. Complacent or just not interested? Opportunity missed, methinks! Wake up!",2023,5,21
"They are all in their padded cells, gently rocking back and forth mumbling something like ….“missed the boat…missed the boat” or some such thing, having just got back from the Shanghai motor show……….",2023,5,21
"I went on Saturday hoping to sit in a Jaguar I-pace and citroen ec4 but as you say both manufacturers were absent, it was a bit disappointing. What was there changed my mind about particular cars from just 30 seconds in the seat, bases or backs too narrow, not enough space between steering wheel and floor at highest rake etc.",2023,5,21
"On the recent FC podcast, on YT, they talked about their most asked question. ""Where is X car maker?"" They invited everybody. They said they would list all the companies asked but refused to come, who not only turned down paid for space but even the opportunity to display a car for free. Draw your own conclusions.",2023,5,22
The McMurtry Speirling Fan car was my favourite 😎,2023,5,22
"Also got lots of interest in my Renault Megane in the carpark, guess Renault missed a trick there not attending the show 😄",2023,5,22
"I was at the show on Saturday and found it to be ok. Not quite as wide ranging as Id expected with many major (legacy) brands not on show. 
 
The highlights for me were seeing the Ioniq6 in the flesh and the EV6 GT, the latter being my next expected purchase however the Ioniq6 looks really really good, great too to see the 6 in a couple of different colours. It might be the one to get when the 'N' variant is launched instead of the EV6 GT. 
 
Bar that, me and my buddy who was disappointed at the lack of home solutions on display were done and dusted in 90 mins. in truth, we couldve been finished in an hour if wasnt for wanting to listen to a talk involving EVM. 
 
Still though, it was a great excuse to get out into the sunshine and overall we were glad we went.",2023,5,22
"Fisker were at FC-S were they at FC-N? Did Ford not rock up with an F-150 EV? 
 
What about Lots of Trouble Usually Serious from NorfikWuhan?",2023,5,22
"Wasn't disappointed as didn't go just for cars. Lots of good talks, and interesting stands with new ideas, and new businesses.  
 
I guess if you went and wanted a normal 'motor' show then I can see why you may have been less than impressed.",2023,5,22
"Hi all, 
 
Will I be mad to not test drive before ordering? I went to my local dealer today and sat in the car and am 100% certain that I’ll be opting for a 4+ because the financial maths works out very well for me, as well as the BIK saving over ICE I will be paid an extra £150 per month for electing to take a lower band vehicle than my entitlement. 
 
I didn’t test drive my last 2 company ICE cars, having never driven those makes previously, both have been absolutely fine and no regrets. If it makes a difference I don’t do m(any) work miles and so the car will be 95% personal local mileage. 
 
I’ve read that driving an EV is MUCH different to ICE so do I need a test drive to learn the basics of driving an EV or can I ‘teach myself’ when it’s delivered? 
 
Sorry if this is a silly question but test driving a car is something that I’ve never done before!",2021,5,23
"Nope not mad. I ordered blind and had never sat in one, just a Niro hybrid. 
 
Very little to learn about driving it other than getting a feel for the responsiveness in the first 30mins assuming you're in anything other than Eco Mode. Just a fun ride.",2021,5,23
You clearly don't care much about cars so why bother? EVs are functional so it will do the job as well as ICE. The main thing is to learn about the various means of charging it and the realistic range.,2021,5,23
"Thanks both, as I’ve got older I do indeed care less about cars but before the company cars I owned a Fiat 500 Abarth (and other similar type hot hatches before that) so I’m not totally ambivalent! 
 
My decision this time is 90% about the money  Actually, no, it’s 100% about the money",2021,5,23
"The best thing is that you are making an excellent choice even if for the ""wrong"" reasons. Most on here would argue about the choice of which EV because that's what we do. ",2021,5,23
"Why not take the test drive anyway? 
It takes an hour and an hour is worth wasting for a 4 year commitment. 
 
I won’t say that you can’t go wrong with one, although the e-Niro is a very good car that deserves more representation.",2021,5,23
"I didn’t know that, thanks.",2021,5,23
"SueH and I are in the same locale, the dealer in Southampton/Portsmouth just lets you get on with it. Nicely placed to get onto a motorway so that in an hour and a half you can try it in all conditions. They do hang on to your own car, or bike in Sue’s case for security!",2021,5,23
"My E-Niro 4 is the first car I've bought without a test drive, having previously had an automatic it wasn't so very different. If you are coming from a manual then yes it might seem strange at first, but then so would an ICE automatic. The wealth of tech is daunting, so just go for simple at first and gradually expand your knowledge. I've had mine in ECO mode since I've had it, and it has plenty of performance for me.",2021,5,23
"I didn’t have a test drive and my e Niro is here for five years. It’s slightly smaller than I expected, but otherwise drives fine, comfortable, functional.",2021,5,24
"Had a 45 minute test drive, never driven an automatic, stopped on my drive to show the wife, couldn’t get it to start to drive again. Wife says foot on brake to start doh. 18 months later car arrived and it’s the best car I’ve ever had.",2021,5,24
"Testing is usually confusing. Beds, sofas, cars can't be accurately assessed by a 30 minute sample, but only by living with them.",2021,5,24
"I’ve committed to a few cars without driving them over the years. I find that reading reviews gives me a pretty good idea of what I’m letting myself in for.  
 
I would only have concerns about going for a smaller/cheaper/less “premium” car than I’ve been used to without driving it first. If you’re going the other way there shouldn’t be too much to worry about.",2021,5,24
"I ordered my leased e-Niro 2 purely on the info I'd read about and seen in various YouTube reviews. No test drive, and I'd never even seen on in the flesh. 
No regrets whatsoever - lovely to drive and very comfortable.",2021,5,24
"Why is your company even providing any car, let alone an EV, if you ""don’t do m(any) work miles "" and don't seem particularly interested in cars or the environment? I understand it is 'part of the package', but wouldn't higher basic pay be simpler and give employees options to get whatever transport solution best meets their requirements. Or is it all just a jolly tax wheeze?",2021,5,24
"Looks like this “electric car” has exhaust pipes. 
 
i cant find anywhere to report this…should I even bother?",2022,10,28
"There's no point, in clean air zones the ARPNs have access to DVLA's emission data. which ignore the colour. In fact there's zero advantage to having a green flash on the plate, other than bragging right and invitation to be bullied by anti-EV drivers.",2022,10,28
"I think everyone should. The illegal use of those plates devalues the purpose of them. Also prevents any possible introduction of benefits using those plates. (eg. those that can't validate zero emission status by imminently access APRN database) 
 
The driver may also be thinking they are driving an EV, but in actual fact they are driving a hybrid. 
 
I saw an Fiat 500 Abarth with green plates on A40 a few months ago. Unfortunately due to heavy traffic I didn't try to get behind to capture it with my dashcam. If I had similar quality photo, I'll be looking to report the car.",2022,10,28
I'm just surprised that the plate doesn't appear to be personalised or have illegal spacing etc!,2022,10,28
Just take pleasure in the fact that the number plate appears to have been fitted at a wonky angle.,2022,10,28
It’s an electric hybrid with a 1998cc engine producing 31g/km. Aren’t they allowed the green flash?,2022,10,28
"Do you have a few hours to waste? If so, Yes.  
If not, don't worry too much about it. The green flash has no useful meaning. 
 
However, it may be worthwhile looking up who made up that plate, and report THEM to the DVLA, because by law in the UK, they have to check the V5c registration certificate to determine fuel type and it should be 'electric' or 'hydrogen fuel-cell' to get that green flash. If they're not checking the V5c, including the purchaser's identity, before issuing the plate, then they could be aiding and abetting a host of other crimes. It's a case of 'low-hanging fruit' that leads to other things. Fitting non-compliant plates is a gateway drug to other crimes, for both the issuer of the plates, and the keeper of the vehicle.",2022,10,28
"This may be an error on the part of the dealer. 
 
I took delivery of a PHEV a couple of months back and when at the dealership concentrated on checking paint, panel gaps etc., rather than the reg plates. It was later that day when I had parked the car and was walking past it that I noticed that it had green plates. I wasn't going to go back to the dealer about reg plates!",2022,10,28
"There's at least one Porsche owner around here who obviously thinks the front number plate ruins the look of his car so doesn't bother. 
 
So few consequences these days that antisocial behaviour is more and more common.",2022,10,28
"One possible real-life benefit of the green flash could be educating traffic wardens to ticket drivers for ICEing chargers. 
The flash would mean they wouldn't have to check a database to see if a specific car is an EV.",2022,10,28
"Green flash is pointless in my opinion. 
 
I thought the stated reason for the green flash was only to raise awareness of BEVs. It would be useless for any official purpose as it would be so easy to fake. A bit of green insulating tape could be added and removed in seconds. 
 
i confess I never look for them nor notice them. I recognise the cars rather than a small green flash on the number plate. For our Soul, we just let the dealer decide. 
 
I don’t see why EVs should be allowed in bus lanes, be given parking privileges or be exempt congestion charges, they take up the same space. ULEZ exemption is fair enough but they will go when almost all vehicles are low emission. The ”encouragement” to get an EV will be driven by the ban on new ICE but, from what I have read on the forum, there are not enough EVs to meet demand anyway.",2022,10,28
"As per the title, I'm not sure I actually like the Zoe ZE40 overall. Before I do something drastic after only 6 months of ownership then I thought I'd better sense check to see if some of the things that bug me are might actually be easily fixed. 
 
Background - my first EV but I'd wanted one for years, liked it on the short test drive of standard but ended up buying an S Edition 186 miles away because I wanted the part leather and a different colour than white.   
I didn't actually expect to like the Zoe, just drove it more to explore all limited options and it surprised me in a good way at the time. 
 
My main gripes that bother me are; 
The ride - I didn't notice on the test drive, but the ride/handling is a major gripe. Feels too soft or missing an anti-roll bar at the front and waaaay too stiff at the rear, to the point where going over bumps even at low speed causes me back pain... and I haven't had back issues for 30 years.  
 
The car really wants to rear-end another car - the brakes seem somewhat unpredictable compared to normal braking systems. If I brake or slow gently (guessing just on regen) then when I reach about 8mph the car decides it wants to surge forward, just when you're coming close to a car behind and you then have to re-apply considerably more brake. This is fairly consistent but at the same time variable in severity depending on pedal pressure. Braking harder (not actually hard, I'm still driving it normally) lessens this issue but isn't the way an EV should ideally be driven? 
 
Brakes again - coming to a stop or initially moving away, the brakes groan a bit as the pads go on or off fully. iirc my ex-wife's two older scenics were similar and it was basically down to the caliper carriers flexing as they weren't as stiff as they could be. It's not a functional problem but it sounds like I'm driving an old banger. 
 
More minor irritations; 
The radio - sometimes it just stops receiving a signal or at least stops making a sound, from a couple of minutes up to half an hour I think the longest one was. Intermittent. Can happen on a 5 minute journey to my girlfriend's or an hour into a journey or be fine for a week. It makes other sounds still, sat nav etc and can play from bluetooth still. 
 
Door lock buttons stop working - intermittent, I normally lock and unlock via the buttons as my keys are in my pocket. Sometimes this just doesn't work. Either locking or unlocking. 
 
Public charging speed unreliable - less of an issue now I have a home charger but I bought the car just before lockdown and which delayed my house move so I ended up having to use the public charging infrastructure. So I charged and shopped as best I could. But I could start the car charging at 22kW, go to the shop, come out and it had dropped down to 3kW or anywhere in between. Other times it'll start low on a 22/43kW charger but if you disconnect and reconnect to the same charger it'll charge at full rate. It just seems inconsistent and it didn't matter what make of charger I plugged it into. This often left me sitting in my car waiting to get enough charge because it had dropped to a crawl after I'd left it. 
 
Tailgate rattle? - sounds like the tailgate or lock is rattling, knocking when driving around. Can't replicate it when stationary so it could be something else. 
 
Super soft paint - seems softer than any other I've come across before, pretty sure you can scratch it with a fingernail. I was going to get it paint sealed straight after buying it but then the world turned upside down and in the meantime I'm not entirely sure I'm wanting to keep it. 
 
 
Sorry if it sounds all grumble grumble for my first post here, there are plenty of positives with the car that I love - it's easy to drive, plenty nippy enough around town and acceptable on the motorway. I thought the hard plastic dash would be the thing that would most bother me but it's a non-issue, range is great, it's obviously super cheap to run. 
 
I don't know if the above are normal Zoe ""quirks"", things that can or can't be resolved. If I could even get a couple of the major ones then the minor ones probably wouldn't bother me but at the moment I just don't know if I want to keep it and it's been that way since the first couple of weeks of ownership. I've never spent more than £7k on a car previous and have loved my last few non-company cars, but having upped the budget when moving to a smaller house to be able to afford an EV, I'm quite disappointed. Not with the EV experience, I'm unlikely to go back, but with the traditional parts of the car really.",2020,9,18
"On ride - this is subjective. It's better over rough road and speed bumps than my 57 plate Honda civic. 
 
On brakes as slowing, yes. I rear ended a car as distracted while slowing in second week of ownership. No damage to Zoe. Slight stress mark on other car's bumper, which became expensive as it was a custom pain job mercedes... 
 
On brake groaning when pull away I suspect this is the hill start assist. They release as you accelerate rather than when you take foot off brake, but that transition will provide done tension between systems. 
 
Door buttons won't work if you use key fob to lock car as this disables the proximity system. Could this be the cause? If so, it's intentional. 
 
Yes to soft paint - I have scratched it with my finger nail when trying to remove a fleck of tar. I have authorisation to get one but touched up under Warranty currently ( haven't taken it in due Covid).",2020,9,18
"Groaning rear brakes is a feature.   
 
The brake/regen surge feeling is worst at high states of charge so I used to avoid charging to 100%. 
 
The Zoe is the cheapest EV and it does show in places. It's worth messing with tyre pressures a bit to see if you can make it a bit better. Couple of psi up or down off book pressure might make all the difference. 
 
Have you downloaded the Rlink toolkit thing? A few of the quirks get ironed out with periodic updates. If the unit wasn't reset to factory before you got it it's worth doing that and starting fresh as that can sometimes make all the difference to weird behaviour.",2020,9,18
Looks like you might have to sell it! ,2020,9,18
"Hi Zantium, 
We've had two Zoe's, the current one is the 40kWh R110 so similar to yours. I have found the ride quality and handling 'interesting' in both cars and in my view is what lets down what is generally, a very good car. What I do find is that when I go to the recycling centre with bags of rubble in the boot, it really is a good mini-van with the rear seatback removed, then the car and ride are much, much better. This all implies the rear end is the problem. 
After I realised that I then played around with tyre pressures and now have something which is OK. Unfortunately, we have the Michelin EVs so we will have the tyres going hard in winter, edges rubbing off and the generally cracking so we will be getting pair of CrossClimate+ tyres fitted this winter and will see how that goes. 
We've also had problems with the radio and the sat nav doing all sorts of things including the rebooting every few minutes but that is generally fixed by pulling fuses F26 or F31 depending on the problem. 
 
One thought on the brakes - are they corroded due to low use at the mo and need a good clean off? I have only rarely, over five years of ownership, had a problem with the transition from regen to friction but we are in a hilly area and hence the friction brakes do get used. 
 
Finally, is there anyone near you with a Zoe that you can go out in and see if it is any different?",2020,9,18
"I agree with the OP, I have had a ZE50 from ONTO for a month and dont like it at all for all the same reasons. The whole auto hold/B-mode/brake setup seems to have been thought up on a whim and had no tuning and yes it does seem to want to run into the back of things. The brakes always groan. I cant understand why when you first switch the car on it doesn't move until the accelerator is presed but every subsequent time it stops you have to hold it on the brakes. The icing on the cake is that mine won't charge on the (free) chargers I have at work work despite them working every time for any Leaf,Tesla and NV200.",2020,9,18
"Every car has likes and dislikes, I can't wait to give my Zoe ZE50 back asap. Hate the handling, seats and auto hold as so jerky. The performance is good enough and the range of course is very good.",2020,9,18
"@cah197  Yes it has auto hold except it doesn't come on straight away, which is dangerous as it requires a check each time to make sure that it has actually applied and it jerks when you set off rather than releasing smoothly. Auto hold should hold automatically and imediately as the name suggests, and relaease smoothly as soon as the accelerator is presed. The brakes groan on every release first thing in the morning and every time thereafter. With an electic car you shoudl be able to move off smoothly but the Zoe sems designed to stop this happening.",2020,9,18
